ID,Institution,Latitude,Longitude,Total Collection
129,Indiana University Purdue University at Indianapolis,39.768403,-86.158068,548484
126,Indiana State University,39.471241,-87.408066,527493
119,DePauw University,39.640397,-86.861622,283337
147,Valparaiso University,41.464277,-87.04236,210538
120,Earlham College,39.823941,-84.913241,199308
148,Wabash College,40.035123,-86.907091,192655
146,University of Southern Indiana,37.958228,-87.675373,191219
133,IPFW,41.116478,-85.101846,188098
116,Butler University,39.839601,-86.16972,185367
115,Anderson University,40.1114605,-85.6650106,161451
124,Hanover College,38.71925,-85.462368,160265
139,Saint Mary's College,41.7076817,-86.2589083,151495
128,Indiana University Northwest,41.557036,-87.338231,149337
141,Saint Meinrad Seminary & School of Theology,38.171079,-86.809195,139139
117,Christian Theological Seminary,39.833097,-86.178044,137845
144,University of Indianapolis,39.709828,-86.133885,133603
137,Purdue University Calumet,41.583698,-87.474147,127374
142,Taylor University,40.456211,-85.497063,127002
118,Concordia Theological Seminary,41.138306,-85.107735,124867
132,Indiana University Southeast,39.169136,-86.514905,118415
134,Manchester University,41.0118232,-85.7600974,116463
123,Grace College & Theological Seminary,41.2258444,-85.8158934,107458
127,Indiana University Kokomo,40.459591,-86.130652,106367
122,Goshen College,41.561739,-85.824305,99330
125,Huntington University,40.899018,-85.499824,86395
121,Franklin College,39.4774635,-86.0432854,85584
113,Anabaptist Mennonite Biblical Seminary,41.6560445,-85.9719603,84104
140,Saint Mary-of-the-Woods College,39.509265,-87.461635,81118
138,Saint Joseph's College,40.918997,-87.1614699,78977
135,Marian University,39.815525,-86.202936,67898
136,Oakland City University,38.340119,-87.351912,59652
145,University of Saint Francis,41.08669,-85.175484,58405
131,Indiana University School of Medicine,39.775499,-86.179326,55168
143,Trine University,41.631503,-85.014208,22290
114,Ancilla College,41.338161,-86.445869,16908
130,Indiana University School of Dentistry,39.774242,-86.180047,13365
