library ID,titles held in 1 id,titles held in 2 libraries,titles held in 3 libraries,titles held in 4 libraries,titles held in 5 libraries,titles held in 6 libraries,titles held in 7 libraries,titles held in 8 libraries,titles held in 9 libraries,titles held in 10 libraries,titles held in 11 libraries,titles held in 12 libraries
All Libraries,1162958,866130,821990,764869,668354,562430,447409,297925,141171,46548,15389,3557
George Mason,129776,126926,124867,112560,92664,72393,54067,33503,14704,4405,1353,297
James Madison,67824,48332,49823,51298,50920,46801,40419,30141,14193,4348,1362,295
Old Dominion,105427,101116,99663,93331,80530,65554,51484,33300,14636,4416,1349,298
Radford,30230,27166,28423,29011,28600,27577,25145,20666,12709,3969,1287,295
Richmond,41298,42328,44008,47826,50502,50657,45299,31092,14330,4299,1350,296
UVa,367571,158336,137017,121735,99980,78168,57460,35324,15313,4593,1401,298
VCU,113307,130779,132918,118492,95029,73277,54298,33708,14679,4394,1350,295
VCCS Germanna,4407,3014,2324,1956,1849,1680,1584,1599,1455,1139,730,300
VCCS Reynolds,14338,7646,6032,5516,5500,5675,5902,5955,5148,3290,1280,297
VCCS Mountain Empire,3916,3568,3271,3323,3586,4151,4474,4514,4137,2790,1205,295
Virginia Tech,235618,170742,146772,126192,100612,78070,57436,35081,15126,4499,1370,296
Washington and Lee,49246,46177,46872,53629,58582,58427,49841,33042,14741,4406,1352,295
