Name,A,B,C,D,E,F,G,H,J,K,L,M,N,P,Q,R,S,T,U,V,W,Z
0,15364,474861,34750,445392,217148,126614,162052,986969,204007,90990,237982,91816,250649,1187791,597710,189849,60279,310933,40463,8536,5,63977
87,888,61927,3750,49503,25591,13871,24445,138376,28321,12638,38608,13602,27715,142504,97002,30379,3709,43288,5469,602,0,5249
88,828,32652,2555,25277,16523,8379,13691,58918,13937,7244,27270,8786,18394,90868,36886,23803,2246,12823,2058,330,0,2283
89,1522,41005,3624,56609,24939,13824,19424,114061,24055,10338,27084,10304,21200,110906,76285,32741,5440,40677,6019,1984,0,9056
90,374,18451,1377,14910,10767,5789,9050,43057,6420,4428,17140,5864,9066,43938,20195,12428,1309,6620,1395,283,0,2216
91,396,46979,2330,34218,19552,9798,8374,76830,15621,3444,7722,49,17308,110452,5779,2829,937,6000,2605,436,0,1624
92,2994,109743,8979,106376,33918,25297,27215,154863,39377,14736,40747,18459,38687,250573,97016,18239,8319,50621,7996,1335,1,21295
93,5354,52047,3666,46170,25157,13551,20131,155231,26866,15142,35589,13456,56154,139527,85507,14443,4454,43531,4166,706,0,11609
94,40,1650,263,1324,1772,551,834,2987,352,432,667,300,663,5426,1676,1453,414,949,114,34,4,120
95,113,4078,352,3905,4393,1332,2107,9623,1326,1431,2462,759,1748,14594,5012,5768,2433,4360,390,66,0,327
96,48,2969,205,2632,2971,1035,1216,6601,722,786,1163,577,1240,10121,2264,2289,351,1629,216,50,0,145
97,1703,62318,4782,59197,28632,20097,24968,164197,28750,14248,33829,12698,39431,164141,137745,38946,28135,92216,6637,2051,0,7084
98,1104,41042,2867,45271,22933,13090,10597,62225,18260,6123,5701,6962,19043,104741,32343,6531,2532,8219,3398,659,0,2969
