name,subclass,value,y,x
George Mason,A,888,1,1
George Mason,B,61927,1,2
George Mason,C,3750,1,3
George Mason,D,49503,1,4
George Mason,E,25591,1,5
George Mason,F,13871,1,6
George Mason,G,24445,1,7
George Mason,H,138376,1,8
George Mason,J,28321,1,9
George Mason,K,12638,1,10
George Mason,L,38608,1,11
George Mason,M,13602,1,12
George Mason,N,27715,1,13
George Mason,P,142504,1,14
George Mason,Q,97002,1,15
George Mason,R,30379,1,16
George Mason,S,3709,1,17
George Mason,T,43288,1,18
George Mason,U,5469,1,19
George Mason,V,602,1,20
George Mason,W,0,1,21
George Mason,Z,5249,1,22
James Madison,A,828,2,1
James Madison,B,32652,2,2
James Madison,C,2555,2,3
James Madison,D,25277,2,4
James Madison,E,16523,2,5
James Madison,F,8379,2,6
James Madison,G,13691,2,7
James Madison,H,58918,2,8
James Madison,J,13937,2,9
James Madison,K,7244,2,10
James Madison,L,27270,2,11
James Madison,M,8786,2,12
James Madison,N,18394,2,13
James Madison,P,90868,2,14
James Madison,Q,36886,2,15
James Madison,R,23803,2,16
James Madison,S,2246,2,17
James Madison,T,12823,2,18
James Madison,U,2058,2,19
James Madison,V,330,2,20
James Madison,W,0,2,21
James Madison,Z,2283,2,22
Old Dominion,A,1522,3,1
Old Dominion,B,41005,3,2
Old Dominion,C,3624,3,3
Old Dominion,D,56609,3,4
Old Dominion,E,24939,3,5
Old Dominion,F,13824,3,6
Old Dominion,G,19424,3,7
Old Dominion,H,114061,3,8
Old Dominion,J,24055,3,9
Old Dominion,K,10338,3,10
Old Dominion,L,27084,3,11
Old Dominion,M,10304,3,12
Old Dominion,N,21200,3,13
Old Dominion,P,110906,3,14
Old Dominion,Q,76285,3,15
Old Dominion,R,32741,3,16
Old Dominion,S,5440,3,17
Old Dominion,T,40677,3,18
Old Dominion,U,6019,3,19
Old Dominion,V,1984,3,20
Old Dominion,W,0,3,21
Old Dominion,Z,9056,3,22
Radford,A,374,4,1
Radford,B,18451,4,2
Radford,C,1377,4,3
Radford,D,14910,4,4
Radford,E,10767,4,5
Radford,F,5789,4,6
Radford,G,9050,4,7
Radford,H,43057,4,8
Radford,J,6420,4,9
Radford,K,4428,4,10
Radford,L,17140,4,11
Radford,M,5864,4,12
Radford,N,9066,4,13
Radford,P,43938,4,14
Radford,Q,20195,4,15
Radford,R,12428,4,16
Radford,S,1309,4,17
Radford,T,6620,4,18
Radford,U,1395,4,19
Radford,V,283,4,20
Radford,W,0,4,21
Radford,Z,2216,4,22
Richmond,A,396,5,1
Richmond,B,46979,5,2
Richmond,C,2330,5,3
Richmond,D,34218,5,4
Richmond,E,19552,5,5
Richmond,F,9798,5,6
Richmond,G,8374,5,7
Richmond,H,76830,5,8
Richmond,J,15621,5,9
Richmond,K,3444,5,10
Richmond,L,7722,5,11
Richmond,M,49,5,12
Richmond,N,17308,5,13
Richmond,P,110452,5,14
Richmond,Q,5779,5,15
Richmond,R,2829,5,16
Richmond,S,937,5,17
Richmond,T,6000,5,18
Richmond,U,2605,5,19
Richmond,V,436,5,20
Richmond,W,0,5,21
Richmond,Z,1624,5,22
UVa,A,2994,6,1
UVa,B,109743,6,2
UVa,C,8979,6,3
UVa,D,106376,6,4
UVa,E,33918,6,5
UVa,F,25297,6,6
UVa,G,27215,6,7
UVa,H,154863,6,8
UVa,J,39377,6,9
UVa,K,14736,6,10
UVa,L,40747,6,11
UVa,M,18459,6,12
UVa,N,38687,6,13
UVa,P,250573,6,14
UVa,Q,97016,6,15
UVa,R,18239,6,16
UVa,S,8319,6,17
UVa,T,50621,6,18
UVa,U,7996,6,19
UVa,V,1335,6,20
UVa,W,1,6,21
UVa,Z,21295,6,22
VCCS Germanna,A,40,7,1
VCCS Germanna,B,1650,7,2
VCCS Germanna,C,263,7,3
VCCS Germanna,D,1324,7,4
VCCS Germanna,E,1772,7,5
VCCS Germanna,F,551,7,6
VCCS Germanna,G,834,7,7
VCCS Germanna,H,2987,7,8
VCCS Germanna,J,352,7,9
VCCS Germanna,K,432,7,10
VCCS Germanna,L,667,7,11
VCCS Germanna,M,300,7,12
VCCS Germanna,N,663,7,13
VCCS Germanna,P,5426,7,14
VCCS Germanna,Q,1676,7,15
VCCS Germanna,R,1453,7,16
VCCS Germanna,S,414,7,17
VCCS Germanna,T,949,7,18
VCCS Germanna,U,114,7,19
VCCS Germanna,V,34,7,20
VCCS Germanna,W,4,7,21
VCCS Germanna,Z,120,7,22
VCCS Mountain Empire,A,48,8,1
VCCS Mountain Empire,B,2969,8,2
VCCS Mountain Empire,C,205,8,3
VCCS Mountain Empire,D,2632,8,4
VCCS Mountain Empire,E,2971,8,5
VCCS Mountain Empire,F,1035,8,6
VCCS Mountain Empire,G,1216,8,7
VCCS Mountain Empire,H,6601,8,8
VCCS Mountain Empire,J,722,8,9
VCCS Mountain Empire,K,786,8,10
VCCS Mountain Empire,L,1163,8,11
VCCS Mountain Empire,M,577,8,12
VCCS Mountain Empire,N,1240,8,13
VCCS Mountain Empire,P,10121,8,14
VCCS Mountain Empire,Q,2264,8,15
VCCS Mountain Empire,R,2289,8,16
VCCS Mountain Empire,S,351,8,17
VCCS Mountain Empire,T,1629,8,18
VCCS Mountain Empire,U,216,8,19
VCCS Mountain Empire,V,50,8,20
VCCS Mountain Empire,W,0,8,21
VCCS Mountain Empire,Z,145,8,22
VCCS Reynolds,A,113,9,1
VCCS Reynolds,B,4078,9,2
VCCS Reynolds,C,352,9,3
VCCS Reynolds,D,3905,9,4
VCCS Reynolds,E,4393,9,5
VCCS Reynolds,F,1332,9,6
VCCS Reynolds,G,2107,9,7
VCCS Reynolds,H,9623,9,8
VCCS Reynolds,J,1326,9,9
VCCS Reynolds,K,1431,9,10
VCCS Reynolds,L,2462,9,11
VCCS Reynolds,M,759,9,12
VCCS Reynolds,N,1748,9,13
VCCS Reynolds,P,14594,9,14
VCCS Reynolds,Q,5012,9,15
VCCS Reynolds,R,5768,9,16
VCCS Reynolds,S,2433,9,17
VCCS Reynolds,T,4360,9,18
VCCS Reynolds,U,390,9,19
VCCS Reynolds,V,66,9,20
VCCS Reynolds,W,0,9,21
VCCS Reynolds,Z,327,9,22
VCU,A,5354,10,1
VCU,B,52047,10,2
VCU,C,3666,10,3
VCU,D,46170,10,4
VCU,E,25157,10,5
VCU,F,13551,10,6
VCU,G,20131,10,7
VCU,H,155231,10,8
VCU,J,26866,10,9
VCU,K,15142,10,10
VCU,L,35589,10,11
VCU,M,13456,10,12
VCU,N,56154,10,13
VCU,P,139527,10,14
VCU,Q,85507,10,15
VCU,R,14443,10,16
VCU,S,4454,10,17
VCU,T,43531,10,18
VCU,U,4166,10,19
VCU,V,706,10,20
VCU,W,0,10,21
VCU,Z,11609,10,22
Virginia Tech,A,1703,11,1
Virginia Tech,B,62318,11,2
Virginia Tech,C,4782,11,3
Virginia Tech,D,59197,11,4
Virginia Tech,E,28632,11,5
Virginia Tech,F,20097,11,6
Virginia Tech,G,24968,11,7
Virginia Tech,H,164197,11,8
Virginia Tech,J,28750,11,9
Virginia Tech,K,14248,11,10
Virginia Tech,L,33829,11,11
Virginia Tech,M,12698,11,12
Virginia Tech,N,39431,11,13
Virginia Tech,P,164141,11,14
Virginia Tech,Q,137745,11,15
Virginia Tech,R,38946,11,16
Virginia Tech,S,28135,11,17
Virginia Tech,T,92216,11,18
Virginia Tech,U,6637,11,19
Virginia Tech,V,2051,11,20
Virginia Tech,W,0,11,21
Virginia Tech,Z,7084,11,22
Washington and Lee,A,1104,12,1
Washington and Lee,B,41042,12,2
Washington and Lee,C,2867,12,3
Washington and Lee,D,45271,12,4
Washington and Lee,E,22933,12,5
Washington and Lee,F,13090,12,6
Washington and Lee,G,10597,12,7
Washington and Lee,H,62225,12,8
Washington and Lee,J,18260,12,9
Washington and Lee,K,6123,12,10
Washington and Lee,L,5701,12,11
Washington and Lee,M,6962,12,12
Washington and Lee,N,19043,12,13
Washington and Lee,P,104741,12,14
Washington and Lee,Q,32343,12,15
Washington and Lee,R,6531,12,16
Washington and Lee,S,2532,12,17
Washington and Lee,T,8219,12,18
Washington and Lee,U,3398,12,19
Washington and Lee,V,659,12,20
Washington and Lee,W,0,12,21
Washington and Lee,Z,2969,12,22
